qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-E_580007-checked_1.fq Relative Abundance (%)	TP-E_580007-checked_1.fq Mean	TP-E_580007-checked_1.fq RPKM	TP-E_580007-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_274449_3	k141_274449	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.68e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	34.224133	unmob	bin_66	Binning	bin_66	0.056613155	3.1667032	0.5063047	1843.7367	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JACKOD01;s__JACKOD01 sp024234505	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__JACKOD01	s__JACKOD01 sp024234505	d__Bacteria	233.9381855	p__Pseudomonadota	45.3761052	c__Gammaproteobacteria	45.3761052	o__Pseudomonadales	11.3031292	f__Oleiphilaceae	6.9840927	g__JACKOD01	3.1667032	s__JACKOD01 sp024234505	3.1667032
k141_3276804_2	k141_3276804	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	7.3002276	unmob	bin_94	Binning	bin_94	0.13202725	7.3850527	1.1847639	4314.384	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp001567405			p__Bacteroidota	19.059884099999998	c__Bacteroidia	19.059884099999998	o__Chitinophagales	7.3850527	f__Saprospiraceae	7.3850527	g__OLB8	7.3850527	s__OLB8 sp001567405	7.3850527
k141_2869705_73	k141_2869705	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	64.473274		bin_53	Binning	bin_53	2.5020077	139.95184	22.94974	83572.766	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__			p__Actinomycetota	148.528019	c__Actinomycetia	148.528019	o__Mycobacteriales	148.528019	f__Mycobacteriaceae	148.528019	g__Mycobacterium	148.528019	s__	176.25271270000002
k141_2899305_11	k141_2899305	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.1105113		bin_86	Binning	bin_86	0.15332177	8.576179	1.4091017	5131.3228	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium insubricum			p__Bacillota_A	8.3067832	c__Clostridia	8.3067832	o__Oscillospirales	4.5205793	f__Ruminococcaceae	4.5205793	g__JAEXNS01	4.5205793	s__Mycobacterium insubricum	8.576179
k141_832862_1	k141_832862	CAJ45367	99.0	405	406	1	405	405	1	405	2.77e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	11.684537	unmob	bin_153	Hi-C	bin_153	0.08081725	4.5205793	0.7239602	2636.3416	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAEXNS01;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__JAEXNS01	s__			p__Myxococcota	4.7015767	c__Polyangia	4.7015767	o__Saccharofermentanales	3.7862039	f__Saccharofermentanaceae	3.7862039	g__Saccharofermentans	3.7862039	s__Saccharofermentans sp012728275	3.7862039
k141_832862_1	k141_832862	CAJ45367	99.0	405	406	1	405	405	1	405	2.77e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	11.684537	unmob	bin_199	Hi-C	bin_199	0.06768836	3.7862039	0.6073875	2211.8354	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp012728275	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Saccharofermentanales	f__Saccharofermentanaceae	g__Saccharofermentans	s__Saccharofermentans sp012728275			p__Omnitrophota	4.2544127	c__Koll11	4.2544127	o__Burkholderiales	21.34768	f__Burkholderiaceae_B	21.34768	g__Ottowia	15.986609	s__Ottowia sp024235955	15.986609
k141_2498297_12	k141_2498297	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.527597		bin_72	Binning	bin_72	0.28580272	15.986609	2.5459204	9271.112	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955			p__Chloroflexota	3.7114046	c__Anaerolineae	3.7114046	o__Xanthomonadales	6.479774	f__Xanthomonadaceae	6.479774	g__Hydrogenophaga	5.361071	s__JACKOX01 sp024233975	6.479774
k141_398923_11	k141_398923	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.019947		bin_78	Binning	bin_78	0.09584326	5.361071	0.85751873	3122.703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Hydrogenophaga	s__							o__Flavobacteriales	8.3258698	f__Parvicellaceae	6.2262707	g__JACKOX01	6.479774	s__JACKEA01 sp020633235	4.7015767
k141_1129475_5	k141_1129475	gi|38231197|gb|AAR14532.1|	100.0	260	261	1	260	263	4	263	1.48e-187	513.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	genome	11.777616		bin_73	Binning	bin_73	0.11584301	6.479774	1.0288794	3746.722	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__JACKOX01;s__JACKOX01 sp024233975	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__JACKOX01	s__JACKOX01 sp024233975							o__Chromatiales	6.245522	f__GCA-002722245	2.0995991	g__Parvicella	6.2262707	s__VMDK01 sp020635435	3.3489616
k141_4145945_79	k141_4145945	AF319779.2.orf0.gene.p01	97.0	266	267	1	266	266	1	266	5.81e-185	506.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	5.762027		bin_90	Binning	bin_90	0.11131098	6.2262707	0.9975126	3632.4985	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Parvicellaceae;g__Parvicella;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Parvicellaceae	g__Parvicella	s__							o__Polyangiales	4.7015767	f__Sedimenticolaceae	6.245522	g__	2.0995991	s__JAGOSC01 sp020429915	4.2544127
